               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090042,             0.06274,                   0,           0.0081656,             0.16304,           0.0039152,           0.0010934,            0.063646,            0.050302,                   0,             0.00049,             0.00049,             0.09559
                   1,            0.060069,            0.048318,                   0,             0.10168,             0.19501,            0.046545,            0.014831,            0.050253,            0.042985,                   0,          0.00098783,          0.00098783,            0.091088
                   2,            0.050054,            0.038803,                   0,             0.55444,             0.84239,             0.67175,             0.25685,            0.045379,            0.029187,                   0,            0.001477,            0.001477,            0.086577
                   3,            0.048715,            0.025696,                   0,             0.84615,             0.81522,             0.89456,             0.47064,            0.043534,            0.023615,                   0,            0.001951,            0.001951,            0.082051
                   4,            0.049681,            0.021448,                   0,             0.65804,             0.65217,             0.71815,             0.23475,            0.041793,            0.020789,                   0,           0.0024039,           0.0024039,            0.077504
                   5,            0.050565,            0.018973,                   0,             0.95232,             0.86837,             0.96078,             0.56786,            0.033996,            0.019309,                   0,           0.0028298,           0.0028298,             0.07293
                   6,            0.046267,            0.017356,                   0,              0.7256,              0.8913,             0.86016,             0.43412,            0.039247,            0.017124,                   0,           0.0032234,           0.0032234,            0.068323
                   7,            0.048453,            0.016509,                   0,             0.87192,             0.77717,             0.88407,             0.31598,            0.046406,             0.01612,                   0,           0.0035801,           0.0035801,             0.06368
                   8,            0.046314,            0.016511,                   0,             0.60605,             0.86413,             0.69877,             0.36411,            0.035476,            0.015573,                   0,           0.0038958,           0.0038958,            0.058996
                   9,            0.042961,            0.014813,                   0,             0.86579,             0.92391,             0.93997,             0.47681,            0.036905,            0.014483,                   0,           0.0041672,           0.0041672,            0.054267
                  10,            0.044356,            0.014739,                   0,             0.70302,             0.77717,             0.77824,             0.40044,             0.03902,            0.013685,                   0,            0.004392,            0.004392,            0.049492
                  11,            0.041791,            0.014006,                   0,             0.72487,             0.94506,             0.86067,             0.33121,             0.03511,             0.01342,                   0,           0.0045685,           0.0045685,            0.044669
                  12,            0.038781,            0.013184,                   0,             0.78841,             0.90217,             0.89619,             0.41791,            0.042172,            0.012816,                   0,           0.0046962,           0.0046962,            0.039796
                  13,            0.041411,            0.012783,                   0,             0.84228,             0.90217,             0.90722,             0.47926,            0.035875,            0.013059,                   0,           0.0047753,           0.0047753,            0.034875
                  14,            0.038202,             0.01254,                   0,             0.70236,             0.80435,             0.80862,             0.33701,            0.039143,            0.012197,                   0,           0.0048072,           0.0048072,            0.029907
                  15,              0.0401,            0.012242,                   0,             0.72051,             0.89674,             0.86844,             0.41181,            0.034844,            0.012415,                   0,            0.004794,            0.004794,            0.024894
                  16,            0.039814,             0.01174,                   0,             0.85416,             0.92306,             0.94345,             0.60142,            0.034688,            0.012282,                   0,            0.004739,            0.004739,            0.019839
                  17,            0.035271,            0.011909,                   0,             0.92097,             0.90217,             0.96621,             0.63578,            0.028776,            0.012087,                   0,           0.0046463,           0.0046463,            0.014746
                  18,            0.032593,             0.01177,                   0,             0.89201,             0.95109,             0.92408,             0.55283,            0.029453,            0.011872,                   0,            0.004521,            0.004521,            0.009621
                  19,            0.033736,            0.011232,                   0,             0.97688,             0.94565,             0.97471,             0.52039,            0.030884,            0.011425,                   0,           0.0043687,           0.0043687,           0.0044687
                  20,            0.030125,            0.011331,                   0,             0.97237,             0.95638,             0.97218,             0.60059,            0.027551,            0.011411,                   0,               0.004,               0.004,               0.004
                  21,            0.026833,            0.011027,                   0,             0.97169,             0.93478,             0.97577,             0.64637,            0.025091,            0.011276,                   0,               0.004,               0.004,               0.004
                  22,            0.025497,            0.010716,                   0,             0.98333,             0.96193,              0.9851,             0.63203,            0.024608,            0.011135,                   0,           0.0036489,           0.0036489,           0.0036489
                  23,            0.025852,            0.010799,                   0,             0.97239,             0.96196,             0.98313,             0.64143,            0.023153,            0.010907,                   0,           0.0033235,           0.0033235,           0.0033235
                  24,            0.023792,            0.010756,                   0,             0.96175,              0.9565,             0.97786,             0.66591,            0.023418,            0.011127,                   0,           0.0030274,           0.0030274,           0.0030274
                  25,            0.023707,           0.0097615,                   0,             0.96685,             0.95098,             0.96766,             0.65834,            0.024862,            0.011383,                   0,           0.0027639,           0.0027639,           0.0027639
                  26,             0.01989,            0.009792,                   0,             0.98295,             0.94012,             0.96441,             0.67623,             0.02157,            0.011225,                   0,           0.0025359,           0.0025359,           0.0025359
                  27,            0.020748,           0.0097052,                   0,             0.96685,             0.95094,             0.96808,             0.70337,            0.021007,            0.011036,                   0,           0.0023458,           0.0023458,           0.0023458
                  28,            0.019967,           0.0095374,                   0,             0.95625,             0.95109,             0.97021,             0.71319,            0.019992,            0.010702,                   0,           0.0021958,           0.0021958,           0.0021958
                  29,            0.020098,           0.0095719,                   0,             0.95616,             0.95109,             0.97327,             0.71994,            0.020124,            0.010564,                   0,           0.0020874,           0.0020874,           0.0020874
