               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016073,            0.012091,                   0,             0.95134,             0.95634,              0.9779,             0.71719,            0.019335,            0.014096,                   0,            1.99e-05,            1.99e-05,             0.08012
                   1,            0.016104,            0.012155,                   0,             0.95161,             0.96186,             0.97923,             0.72391,            0.019596,            0.014061,                   0,          3.9021e-05,          3.9021e-05,            0.060139
                   2,            0.015851,            0.011829,                   0,             0.96684,             0.95077,              0.9788,             0.72361,            0.019261,            0.014074,                   0,          5.4752e-05,          5.4752e-05,            0.040155
                   3,            0.016143,            0.011873,                   0,              0.9667,             0.95109,             0.97949,             0.72351,            0.019125,            0.014045,                   0,          6.5079e-05,          6.5079e-05,            0.020165
                   4,            0.015662,            0.011907,                   0,             0.95142,             0.96196,             0.97991,             0.72515,              0.0191,            0.014017,                   0,          6.8837e-05,          6.8837e-05,          0.00016884
                   5,            0.015929,            0.012174,                   0,              0.9516,             0.96196,             0.98009,             0.72353,            0.019078,            0.013989,                   0,             5.5e-05,             5.5e-05,             5.5e-05
                   6,            0.015891,            0.012423,                   0,             0.96028,             0.95109,             0.97447,             0.72136,            0.019107,             0.01399,                   0,             5.5e-05,             5.5e-05,             5.5e-05
                   7,            0.015645,            0.011888,                   0,              0.9611,             0.94565,             0.98304,             0.72042,            0.019054,            0.014013,                   0,          4.1094e-05,          4.1094e-05,          4.1094e-05
                   8,            0.015678,            0.011713,                   0,             0.95108,             0.95109,             0.97428,             0.72286,             0.01908,            0.014074,                   0,           2.855e-05,           2.855e-05,           2.855e-05
                   9,            0.015774,             0.01239,                   0,             0.95097,             0.95109,             0.97435,             0.72476,            0.019048,            0.013982,                   0,          1.8594e-05,          1.8594e-05,          1.8594e-05
